language,Id_language
en,1
fr,2
cn,3
zh,4
ru,5
es,6
Sin Dato,7
sq,8
it,9
de,10
fa,11
nl,12
da,13
ar,14
hu,15
kw,16
cs,17
tl,18
sv,19
ja,20
pt,21
ca,22
ko,23
af,24
bn,25
he,26
la,27
cy,28
vi,29
pl,30
yi,31
bg,32
el,33
km,34
gd,35
no,36
bs,37
ga,38
nb,39
uk,40
xx,41
bo,42
as,43
sw,44
sr,45
hi,46
az,47
th,48
bm,49
fi,50
cr,51
ro,52
sh,53
hr,54
iu,55
ku,56
hy,57
tr,58
ka,59
ce,60
sk,61
be,62
tg,63
qu,64
eo,65
tt,66
se,67
co,68
gl,69
mn,70
dz,71
is,72
zu,73
am,74
et,75
fy,76
lv,77
kk,78
sl,79
id,80
my,81
wo,82
ur,83
rw,84
mr,85
mk,86
ug,87
gn,88
ay,89
eu,90
ms,91
ta,92
st,93
jv,94
xh,95
ln,96
te,97
lt,98
ml,99
lo,100
ab,101
kn,102
mi,103
ky,104
gu,105
ps,106
pa,107
sm,108
ki,109
so,110
sa,111
sn,112
bi,113
ny,114
si,115
ha,116
ff,117
nv,118
mt,119
oc,120
to,121
ne,122
uz,123
fo,124
lb,125
ig,126
mh,127
ty,128
ht,129
tk,130
sg,131
sc,132
br,133
tn,134
